Description:;"Celsius-based cooling degree days for a base temperature of 18,0C"
Source:;"www.degreedays.net (using temperature data from www.wunderground.com)"
Accuracy:;"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:;"Napoli / Capodichino, IT (14.29E,40.88N)"
Station ID:;"LIRN"

Date;CDD;% Estimated
2014-11-01;"0,9";0
2014-11-02;"0,6";0
2014-11-03;"0,7";0
2014-11-04;"1";0
2014-11-05;"3,9";0
2014-11-06;"5,3";0
2014-11-07;"2,3";0
2014-11-08;"1,9";0
2014-11-09;"1";1
2014-11-10;"1,2";0
2014-11-11;"1,5";0
2014-11-12;"0,4";0
2014-11-13;"0,3";0
2014-11-14;"0,8";0
2014-11-15;"0,5";0
2014-11-16;"0,8";0
2014-11-17;"0,7";0
2014-11-18;"0,4";2
2014-11-19;"0,2";0
2014-11-20;"0,2";2
2014-11-21;"0,3";0
2014-11-22;"0,2";0
2014-11-23;"0,4";0
2014-11-24;"0,3";0
2014-11-25;"0,3";0
2014-11-26;"0";0
2014-11-27;"0,5";0
2014-11-28;"1,4";0
2014-11-29;"1,6";2
2014-11-30;"2";0
2014-12-01;"1,6";0
2014-12-02;"0,1";0
2014-12-03;"0";0
2014-12-04;"0";0
2014-12-05;"0";0
2014-12-06;"0";0
2014-12-07;"0";0
2014-12-08;"0";0
2014-12-09;"0";0
2014-12-10;"0";0
2014-12-11;"0";0
2014-12-12;"0";0
2014-12-13;"0";0
2014-12-14;"0";0
2014-12-15;"0";0
2014-12-16;"0";0
2014-12-17;"0";0
2014-12-18;"0";0
2014-12-19;"0";0
2014-12-20;"0";0
2014-12-21;"0";0
2014-12-22;"0";0
2014-12-23;"0";0
2014-12-24;"0";0
2014-12-25;"0";0
2014-12-26;"0";0
2014-12-27;"0";0
2014-12-28;"0";0
2014-12-29;"0";0
2014-12-30;"0";0
2014-12-31;"0";0
2015-01-01;"0";0
2015-01-02;"0";0
2015-01-03;"0";0
2015-01-04;"0";0
2015-01-05;"0";0
2015-01-06;"0";0
2015-01-07;"0";0
2015-01-08;"0";0
2015-01-09;"0";0
2015-01-10;"0";0
2015-01-11;"0";0
2015-01-12;"0";0
2015-01-13;"0";0
2015-01-14;"0";0
2015-01-15;"0";0
2015-01-16;"0";0
2015-01-17;"0";0
2015-01-18;"0";0
2015-01-19;"0";0
2015-01-20;"0";0
2015-01-21;"0";0
2015-01-22;"0";0
2015-01-23;"0";1
2015-01-24;"0";0
2015-01-25;"0";0
2015-01-26;"0";0
2015-01-27;"0";0
2015-01-28;"0";0
2015-01-29;"0";0
2015-01-30;"0";0
2015-01-31;"0";0
2015-02-01;"0";0
2015-02-02;"0";0
2015-02-03;"0";0
2015-02-04;"0";0
2015-02-05;"0";3
2015-02-06;"0";0
2015-02-07;"0";0
2015-02-08;"0";0
2015-02-09;"0";0
2015-02-10;"0";0
2015-02-11;"0";0
2015-02-12;"0";0
2015-02-13;"0";0
2015-02-14;"0";0
2015-02-15;"0";0
2015-02-16;"0";0
2015-02-17;"0";0
2015-02-18;"0";0
2015-02-19;"0";0
2015-02-20;"0";0
2015-02-21;"0";0
2015-02-22;"0";0
2015-02-23;"0";0
2015-02-24;"0";0
2015-02-25;"0";0
2015-02-26;"0";0
2015-02-27;"0";0
2015-02-28;"0";0
2015-03-01;"0";0
2015-03-02;"0";0
2015-03-03;"0";0
2015-03-04;"0";0
2015-03-05;"0";0
2015-03-06;"0";0
2015-03-07;"0";0
2015-03-08;"0";0
2015-03-09;"0";0
